,rating,rating
Aldnoah.Zero,2091,7.284074605451937
Aldnoah.Zero 2nd Season,1131,6.870910698496905
Alien 9,127,5.9921259842519685
Allison to Lillia,109,6.862385321100917
Amaama to Inazuma,196,6.744897959183674
Amagami SS,1313,7.282559025133282
Amagami SS OVA,265,6.679245283018868
Amagami SS+ Plus,638,7.219435736677116
Amagi Brilliant Park,1713,7.126094570928196
Amanchu!,39,7.384615384615385
Amatsuki,307,6.286644951140065
Ame-iro Cocoa,78,4.282051282051282
Amnesia,1769,6.144714527981911
Amnesia OVA,205,5.390243902439025
Ange Vierge,13,5.615384615384615
Angel Beats!,12634,8.105192338135192
Angel&#039s Feather,304,5.009868421052632
Anitore! EX,40,5.525
Anne Happyâª,55,6.618181818181818
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,6924,8.271374927787406
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,821,7.428745432399513
Ano Natsu de Matteru,1608,7.452114427860696
Another,8976,7.535762032085562
Another: The Other - Inga,1492,6.554289544235925
Ansatsu Kyoushitsu (TV),1641,7.465569774527727
Ansatsu Kyoushitsu (TV) 2nd Season,527,7.738140417457306
Ansatsu Kyoushitsu: 365-nichi no Jikan,1,8.0
Ao Haru Ride,2351,7.206720544449171
Ao Haru Ride OVA,494,6.334008097165992
Ao no 6-gou,382,6.845549738219895
Ao no Exorcist,8539,7.602529570207285
Ao no Exorcist Movie,1180,6.973728813559322
Ao no Kanata no Four Rhythm,153,6.712418300653595
Aoharu x Kikanjuu,475,6.930526315789474
Aoi Bungaku Series,447,7.465324384787472
Aoi Hana,380,6.713157894736842
Aoki Hagane no Arpeggio: Ars Nova,566,7.261484098939929
Appleseed,239,5.7489539748953975
Appleseed (Movie),1107,6.494128274616079
Appleseed Saga Ex Machina,531,6.728813559322034
Aquarion Evol,292,7.085616438356165
Arakawa Under the Bridge,1268,7.340694006309148
Arakawa Under the Bridge x Bridge,585,7.2615384615384615
Arata Kangatari,136,6.588235294117647
Arata naru Sekai: World&#039s/Start/Load/End,78,5.384615384615385
Arcana Famiglia: Capriccio - stile Arcana Famiglia,65,6.630769230769231
Area no Kishi,130,7.2384615384615385
Argento Soma,48,6.416666666666667
Aria The Animation,368,7.494565217391305
Aria The Natural,159,8.056603773584905
Aria The OVA: Arietta,97,7.742268041237113
Aria The Origination,156,7.705128205128205
Armitage III,179,6.787709497206704
Arslan Senki (TV),463,7.207343412526998
Arslan Senki (TV): Fuujin Ranbu,123,6.512195121951219
Arve Rezzle: Kikaijikake no Yousei-tachi,77,5.740259740259741
Asatte no Houkou.,113,6.238938053097345
Ashita no Joe,20,8.7
Ashita no Nadja,106,7.509433962264151
Asura,110,6.972727272727273
Asura Cryin&#039,538,6.741635687732342
Asura Cryin&#039 2,359,6.977715877437326
Aura: Maryuuin Kouga Saigo no Tatakai,94,7.127659574468085
Ayakashi,163,6.423312883435583
Ayakashi: Japanese Classic Horror,295,7.145762711864407
Ayashi no Ceres,533,6.774859287054409
Azumanga Daioh,2579,7.778596355176425
B-Project: Kodouï¼Ambitious,25,6.4
Baby Steps,189,7.37037037037037
Baby Steps 2nd Season,79,7.3164556962025316
Baccano!,3828,8.200626959247648
Baka to Test to Shoukanjuu,4157,7.395718065912918
Baka to Test to Shoukanjuu Ni!,2304,7.462673611111111
Baka to Test to Shoukanjuu: Matsuri,808,7.048267326732673
Bakemono no Ko,419,7.863961813842482
Bakemonogatari,5695,7.94468832309043
Bakugan Battle Brawlers,233,5.381974248927039
Bakugan Battle Brawlers: New Vestroia,126,5.246031746031746
Bakuman.,2199,7.731241473396999
Bakuman. 2nd Season,1347,7.987379361544172
Bakuman. 3rd Season,1015,8.10344827586207
Bakumatsu Rock,65,6.2
Bakuon!!,45,5.822222222222222
Bakuretsu Tenshi,491,6.737270875763747
Bakuten Shoot Beyblade,591,5.783417935702199
Bakuten Shoot Beyblade 2002,252,5.654761904761905
Bakuten Shoot Beyblade G Revolution,201,5.885572139303482
Bamboo Blade,485,7.480412371134021
Bananya,71,5.619718309859155
Barakamon,1716,7.919580419580419
Bartender,229,7.314410480349345
Basilisk: Kouga Ninpou Chou,1000,7.368
Batman: Gotham Knight,289,6.335640138408304
Battery,20,5.55
Bayonetta: Bloody Fate,143,5.93006993006993
Beck,1745,8.187392550143267
Beelzebub,1206,7.615257048092869
Ben-To,1205,7.127800829875519
Berserk,2417,8.007447248655359
Berserk (2016),207,6.260869565217392
Berserk: Ougon Jidai-hen I - Haou no Tamago,888,7.286036036036036
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,725,7.382068965517242
Berserk: Ougon Jidai-hen III - Kourin,655,7.635114503816794
Big Order,69,4.565217391304348
Big Order (TV),209,5.37799043062201
Binan Koukou Chikyuu Bouei-bu LOVE!,288,6.413194444444445
Binan Koukou Chikyuu Bouei-bu LOVE! LOVE!,17,7.529411764705882
Binbougami ga!,854,7.548009367681499
Binzume Yousei,133,5.902255639097745
Biohazard: Degeneration,440,6.611363636363636
Bishoujo Senshi Sailor Moon,2852,6.678821879382889
Bishoujo Senshi Sailor Moon Crystal Season III,73,6.109589041095891
Bishoujo Senshi Sailor Moon R,1544,6.504533678756476
Bishoujo Senshi Sailor Moon R: The Movie,865,6.41849710982659
Bishoujo Senshi Sailor Moon S,1364,6.650293255131965
Bishoujo Senshi Sailor Moon S: Kaguya Hime no Koibito,728,6.259615384615385
Bishoujo Senshi Sailor Moon SuperS,1074,6.435754189944134
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,617,6.233387358184765
Bishoujo Senshi Sailor Moon: Sailor Stars,967,6.781799379524302
Black Blood Brothers,1047,7.0725883476599805
Black Bullet,3004,7.068242343541944
Black Cat,1601,7.198001249219238
Black Jack,17,8.294117647058824
Black Jack (TV),44,7.840909090909091
Black Lagoon,4324,7.756244218316374
Black Lagoon: Roberta&#039s Blood Trail,1019,7.552502453385673
Black Lagoon: The Second Barrage,3072,7.921223958333333
BlackâRock Shooter (OVA),2805,6.622103386809269
BlackâRock Shooter (TV),2663,6.7882087870822385
Blade,69,6.173913043478261
Blade &amp Soul,352,5.84375
Blade of the Immortal,253,6.818181818181818
Blassreiter,274,6.897810218978102
BlazBlue: Alter Memory,188,5.9787234042553195
Bleach,3793,7.886105984708674
Bleach Movie 1: Memories of Nobody,3268,6.791003671970624
Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,2649,6.773876934692336
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,1977,6.887708649468892
Bleach Movie 4: Jigoku-hen,1135,6.9268722466960355
Blood Lad,2201,7.035892776010904
Blood Lad: Wagahai wa Neko de wa Nai,453,6.335540838852097
Blood+,2407,7.567095970087245
Blood-C,962,6.376299376299376
Blood-C: The Last Dark,285,6.898245614035088
Blood: The Last Vampire,1413,6.2399150743099785
Blue Dragon,83,6.325301204819277
Blue Drop: Tenshi-tachi no Gikyoku,167,6.820359281437126
Blue Gender,422,6.6350710900473935
Bobobo-bo Bo-bobo,265,6.9245283018867925
Boku dake ga Inai Machi,2939,8.058863559033686
Boku no Hero Academia,1467,7.294478527607362
Boku no Imouto wa &quotOsaka Okan&quot,58,5.310344827586207
Boku wa Imouto ni Koi wo Suru,546,5.855311355311355
Boku wa Tomodachi ga Sukunai Episode 0,939,5.7699680511182105
Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai,685,6.2437956204379566
Bokura ga Ita,1726,7.202780996523754
Bokura wa Minna Kawaisou,1288,7.385869565217392
Bokurano,433,7.524249422632795
Boogiepop wa Warawanai: Boogiepop Phantom,281,7.213523131672598
Boruto: Naruto the Movie,343,7.259475218658892
Boys Be...,108,6.37037037037037
Brave 10,570,6.67719298245614
Brave Story,253,6.940711462450593
Break Blade,147,6.326530612244898
Break Blade 1: Kakusei no Toki,451,7.024390243902439
Break Blade 2: Ketsubetsu no Michi,380,7.144736842105263
Break Blade 3: Kyoujin no Ato,352,7.255681818181818
Break Blade 4: Sanka no Chi,325,7.270769230769231
Break Blade 5: Shisen no Hate,298,7.322147651006712
Break Blade 6: Doukoku no Toride,290,7.151724137931034
Btooom!,3839,7.325345141964053
Bubblegum Crisis,127,6.74015748031496
Bubblegum Crisis Tokyo 2040,194,6.546391752577319
Bubuki Buranki,58,5.913793103448276
Buddy Complex,186,7.182795698924731
Bungou Stray Dogs,555,6.863063063063063
Bus Gamer,280,6.460714285714285
Busou Renkin,871,7.1836969001148105
Busou Shinki,64,5.8125
Byousoku 5 Centimeter,6086,7.689122576404864
C: The Money of Soul and Possibility Control,1289,7.229635376260667
Canaan,1006,7.229622266401591
Candy Boy Episode: EX01 - Mirai Yohouzu,210,5.571428571428571
Canvas 2: Niji-iro no Sketch,150,6.62
Captain Earth,94,6.361702127659575
Captain Harlock,230,6.8
Captain Tsubasa,368,6.529891304347826
Captain Tsubasa J,117,6.3418803418803416
Captain Tsubasa: Road to 2002,150,6.74
Cardcaptor Sakura,2644,7.566187594553707
Cardcaptor Sakura Movie 1,1082,6.695009242144177
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,1123,7.407836153161176
Cardcaptor Sakura: Leave It to Kero-chan,284,6.623239436619718
Cardfight!! Vanguard,129,6.465116279069767
Carnival Phantasm,459,7.618736383442266
Carnival Phantasm EX Season,167,6.473053892215569
Casshern Sins,424,7.46933962264151
Cencoroll,580,6.51551724137931
Chaos Dragon: Sekiryuu Seneki,120,5.725
Charlotte,2139,7.4628330995792425
Cheer Danshi!!,29,6.206896551724138
Chi&#039s Sweet Home,311,7.434083601286174
Chi&#039s Sweet Home: Atarashii Ouchi,99,7.212121212121212
Chicchana Yukitsukai Sugar,145,6.620689655172414
Chihayafuru,989,7.846309403437816
Chihayafuru 2,562,8.053380782918149
Chihayafuru 2: Waga Mi Yo ni Furu Nagame Seshi Ma ni,77,6.64935064935065
Chikyuu Shoujo Arjuna,198,6.737373737373737
Chitose Get You!!,60,5.516666666666667
Choboraunyopomi Gekijou Ai Mai Mii,99,5.626262626262626
Chocotto Sister,72,6.763888888888889
Choujigen Game Neptune The Animation,416,6.867788461538462
Choujigen Game Neptune The Animation OVA,111,6.63063063063063
Chouyaku Hyakuninisshu: Uta Koi.,42,7.642857142857143
Chrno Crusade,1715,7.461807580174927
Chrome Shelled Regios,873,7.036655211912944
Chuunibyou demo Koi ga Shitai!,5135,7.5688412852969815
Chuunibyou demo Koi ga Shitai! Ren,2168,7.1194649446494465
City Hunter,74,7.202702702702703
Clannad,9536,8.063338926174497
Clannad Movie,1657,6.782136391068195
Clannad: After Story,7578,8.692926893639482
ClassroomâCrisis,128,6.75
Claymore,4359,7.65404909382886
Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,727,6.884456671251719
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,378,7.198412698412699
Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu,143,6.993006993006993
Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku Kara,85,6.682352941176471
Code Geass: Boukoku no Akito Final - Itoshiki Monotachi e,42,7.738095238095238
Code Geass: Hangyaku no Lelouch,12184,8.418253447143796
Code Geass: Hangyaku no Lelouch R2,10101,8.588060588060587
Code Geass: Hangyaku no Lelouch R2 Special Edition Zero Requiem,125,6.088
Code Geass: Hangyaku no Lelouch Special Edition Black Rebellion,121,5.851239669421488
Code Geass: Nunnally in Wonderland,377,5.612732095490716
Code:Breaker,977,6.642784032753326
Colorful (Movie),560,7.5375
Comet Lucifer,154,6.3441558441558445
Comic Party,116,5.810344827586207
Concrete Revolutio: Choujin Gensou,59,6.6440677966101696
Concrete Revolutio: Choujin Gensou - The Last Song,16,6.25
Coppelion,355,6.591549295774648
Coquelicot-zaka kara,684,7.383040935672515
Corpse Party: Missing Footage,815,5.438036809815951
Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,1870,6.607486631016043
Cossette no Shouzou,522,6.680076628352491
Cowboy Bebop,6663,8.470508779828906
Cowboy Bebop: Tengoku no Tobira,2742,7.743253099927061
Coyote Ragtime Show,93,6.978494623655914
Cross Ange: Tenshi to Ryuu no Rondo,278,7.305755395683454
Cross Game,180,8.294444444444444
Cuticle Tantei Inaba,307,7.263843648208469
Cyborg 009: The Cyborg Soldier,81,6.567901234567901
D-Frag!,1126,7.431616341030195
D-Frag! OVA,180,6.838888888888889
D.Gray-man,2354,7.839847068819031
D.Gray-man Hallow,79,6.962025316455696
D.N.Angel,2074,6.919961427193829
DNAÂ²,249,6.461847389558233
DRAMAtical Murder,637,5.940345368916797
Dagashi Kashi,438,6.4132420091324205
Dai Mahou Touge,159,6.716981132075472
Dance in the Vampire Bund,1186,6.8035413153457
Danchigai,169,6.177514792899408
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,222,6.711711711711712
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,207,6.739130434782608
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,3609,6.9520642837351065
Danna ga Nani wo Itteiru ka Wakaranai Ken,1121,6.818019625334522
Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,532,6.684210526315789
Dansai Bunri no Crime Edge,289,6.726643598615917
Danshi Koukousei no Nichijou,2477,7.846588615260396
Dantalian no Shoka,478,7.173640167364017
Dantalian no Shoka: Ibarahime,65,6.769230769230769
Dareka no Manazashi,237,6.801687763713081
Darker than Black: Kuro no Keiyakusha,5554,7.8642419877565715
Darker than Black: Ryuusei no Gemini,2879,7.185133726988537
Date A Live: Encore OVA,450,7.34
Dead Leaves,675,6.94962962962963
Deadman Wonderland,6530,7.103062787136294
Deadman Wonderland OVA,1265,6.194466403162055
Death Billiards,992,7.14616935483871
Death Note,20583,8.348297138415196
Death Parade,3581,7.969003071767663
Demashita! Powerpuff Girls Z,81,6.37037037037037
Denki-gai no Honya-san,348,6.902298850574713
Dennou Coil,402,8.009950248756219
Denpa Kyoushi (TV),128,6.8671875
Denpa Onna to Seishun Otoko,1252,6.98961661341853
Denpa-teki na Kanojo,669,7.176382660687594
Densetsu no Yuusha no Densetsu,775,7.4477419354838705
Detective Conan Movie 01: The Timed Skyscraper,427,6.597189695550352
Detective Conan Movie 02: The Fourteenth Target,369,6.284552845528455
Detective Conan Movie 03: The Last Wizard of the Century,376,6.4361702127659575
Detective Conan Movie 04: Captured in Her Eyes,341,6.519061583577713
Detective Conan Movie 05: Countdown to Heaven,340,6.4411764705882355
Detective Conan Movie 06: The Phantom of Baker Street,367,6.959128065395095
Detective Conan Movie 07: Crossroad in the Ancient Capital,274,6.124087591240876
Detective Conan Movie 08: Magician of the Silver Sky,300,6.596666666666667
Detective Conan Movie 09: Strategy Above the Depths,246,5.82520325203252
Detective Conan Movie 10: Requiem of the Detectives,266,6.161654135338346
Detective Conan Movie 11: Jolly Roger in the Deep Azure,231,5.757575757575758
Detective Conan Movie 12: Full Score of Fear,236,6.13135593220339
Detective Conan Movie 13: The Raven Chaser,237,6.616033755274262
Detective Conan Movie 14: The Lost Ship in the Sky,225,6.475555555555555
Detective Conan Movie 15: Quarter of Silence,181,6.5911602209944755
Detective Conan Movie 16: The Eleventh Striker,149,6.89261744966443
Detective Conan Movie 17: Private Eye in the Distant Sea,102,6.480392156862745
Detroit Metal City,1524,7.794619422572178
Devil May Cry,2833,6.917402047299682
Devil Survivor 2 The Animation,639,6.799687010954616
Diamond no Ace,156,7.673076923076923
Diamond no Ace: Second Season,56,7.428571428571429
Digimon Adventure,2903,6.950051670685498
Digimon Adventure 02,1823,6.548546352166758
Digimon Adventure 02 Movies,348,5.807471264367816
Digimon Adventure 02: Diablomon no Gyakushuu,409,6.332518337408313
Digimon Adventure Movie,1141,6.484662576687117
Digimon Adventure tri. 1: Saikai,339,6.436578171091446
Digimon Adventure tri. 2: Ketsui,154,7.1103896103896105
Digimon Adventure tri. 3: Kokuhaku,72,6.694444444444445
Digimon Adventure: Bokura no War Game!,527,6.690702087286527
Digimon Frontier,821,6.454323995127893
Digimon Savers,331,6.625377643504532
Digimon Tamers,1261,6.846153846153846
Digimon Tamers: Boukensha-tachi no Tatakai,124,6.435483870967742
Digimon Tamers: Bousou Digimon Tokkyuu,148,6.533783783783784
Digimon Xros Wars,122,7.508196721311475
Dimension W,398,7.015075376884422
Divine Gate,127,5.881889763779528
Dog Days,719,6.863699582753825
Dog Days&#039,359,6.933147632311978
Dog Days&#039&#039,98,6.36734693877551
Dogs: Bullets &amp Carnage,646,6.930340557275541
Donten ni Warau,241,7.261410788381743
Doraemon (1979),3,8.0
Doujin Work,257,6.700389105058366
Doukyuusei (Movie),158,7.158227848101266
Dragon Ball,4654,7.486678126342931
Dragon Ball GT,3377,6.302339354456619
Dragon Ball Kai,988,7.343117408906883
Dragon Ball Kai (2014),113,7.407079646017699
Dragon Ball Movie 1: Shen Long no Densetsu,357,5.633053221288516
Dragon Ball Movie 2: Majinjou no Nemuri Hime,304,5.75
Dragon Ball Movie 3: Makafushigi Daibouken,269,5.806691449814126
Dragon Ball Movie 4: Saikyou e no Michi,261,5.881226053639847
Dragon Ball Z,6102,7.6342182890855455
Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,911,5.7102085620197585
Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,804,5.574626865671642
Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,867,5.671280276816609
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,728,5.5673076923076925
Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,889,5.994375703037121
Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,803,5.815691158156912
Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,728,5.788461538461538
"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",1000,6.402
Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,700,6.077142857142857
Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,780,5.891025641025641
Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da,679,5.091310751104565
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,791,6.59039190897598
Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Goku ga Yaraneba Dare ga Yaru,665,6.368421052631579
Dragon Ball Z Movie 14: Kami to Kami,698,6.936962750716332
Dragon Ball Z Movie 15: Fukkatsu no F,275,6.989090909090909
Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku,229,5.401746724890829
Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku,144,5.625
Dragon Crisis!,871,6.601607347876005
Dragon Drive,74,6.648648648648648
Dragonaut: The Resonance,275,6.7309090909090905
Druaga no Tou: The Aegis of Uruk,553,6.8969258589511755
Druaga no Tou: The Sword of Uruk,383,6.95822454308094
Duel Masters,112,5.482142857142857
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,2697,7.278457545420838
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,6,4.5
Durarara!!,7105,7.927797325826883
Durarara!!x2 Ketsu,366,7.426229508196721
Durarara!!x2 Shou,1213,7.283594394064304
Durarara!!x2 Ten,608,7.3667763157894735
Eikoku Koi Monogatari Emma,169,7.165680473372781
El Cazador de la Bruja,180,6.972222222222222
Elfen Lied,13350,7.598876404494382
Endride,9,7.0
Erementar Gerad,571,7.145359019264449
Ergo Proxy,2788,7.854375896700144
Escaflowne,571,6.663747810858144
Escha &amp Logy no Atelier: Tasogare no Sora no Renkinjutsushi,105,6.504761904761905
Etotama,128,6.4296875
Eureka Seven,2227,7.977099236641221
Eureka Seven AO,248,6.745967741935484
Eureka Seven: Pocket ga Niji de Ippai,338,6.64792899408284
Evangelion: 1.0 You Are (Not) Alone,3487,7.469171207341554
Evangelion: 2.0 You Can (Not) Advance,2938,7.758679373723622
Evangelion: 3.0 You Can (Not) Redo,1643,6.962872793670115
Eve no Jikan (Movie),542,7.5664206642066425
Eyeshield 21,363,7.961432506887053
FLCL,5707,7.587173646399159
Fairy Tail,4076,8.003434739941119
Fairy Tail (2014),387,7.8604651162790695
Fairy Tail Movie 1: Houou no Miko,936,6.791666666666667
Fairy Tail x Rave,597,6.557788944723618
Fantasista Doll,79,5.6835443037974684
Fantastic Children,56,7.696428571428571
Fate/Prototype,314,6.079617834394904
Fate/Zero,4746,7.941635061104088
Fate/Zero 2nd Season,3777,8.147736298649722
Fate/kaleid liner PrismaâIllya,501,6.668662674650698
Fate/kaleid liner PrismaâIllya 2wei Herz!,140,6.95
Fate/kaleid liner PrismaâIllya 2wei!,281,6.505338078291815
Fate/kaleid liner PrismaâIllya 3rei!!,54,6.7592592592592595
Fate/kaleid liner PrismaâIllya: Undoukai de Dance!,110,5.709090909090909
Fate/stay night,4688,7.324018771331058
Fate/stay night Movie: Unlimited Blade Works,1097,6.96718322698268
Fate/stay night TV Reproduction,137,5.978102189781022
Fate/stay night: Unlimited Blade Works,2084,7.8973128598848366
Fate/stay night: Unlimited Blade Works 2nd Season,1530,7.9032679738562095
Final Approach,294,6.578231292517007
Final Fantasy VII: Advent Children,3745,7.369025367156208
Final Fantasy VII: Advent Children Complete,1464,7.262978142076503
Final Fantasy VII: Last Order,1040,6.802884615384615
Final Fantasy VII: On the Way to a Smile - Episode: Denzel,258,6.6434108527131785
Final Fantasy: The Spirits Within,1474,6.059701492537314
Final Fantasy: Unlimited,249,6.096385542168675
First Squad: The Moment of Truth,356,5.896067415730337
Flying Witch,215,7.093023255813954
Fortune Arterial: Akai Yakusoku,736,6.485054347826087
Fractale,364,6.815934065934066
Free!,4088,7.095645792563601
Free!: Eternal Summer,1752,7.090182648401827
Freedom,96,7.697916666666667
Fruits Basket,5220,7.386590038314176
Fudanshi Koukou Seikatsu,87,5.206896551724138
Fukigen na Mononokean,63,7.190476190476191
Full Metal Panic!,3573,7.403302546879373
Full Metal Panic! The Second Raid,2208,7.613677536231884
Full Metal Panic? Fumoffu,2843,7.8125219838199085
Full Moon wo Sagashite,702,7.414529914529915
Fullmetal Alchemist,11162,7.94803798602401
Fullmetal Alchemist: Brotherhood,10455,8.833381157340986
Fullmetal Alchemist: Premium Collection,939,6.461128860489882
Fullmetal Alchemist: The Conqueror of Shamballa,4296,7.2167132216014895
Fullmetal Alchemist: The Sacred Star of Milos,1040,6.945192307692308
Fuse: Teppou Musume no Torimonochou,60,7.183333333333334
Fushigi Yuugi,838,7.507159904534606
Fushigi Yuugi OVA,270,6.192592592592592
Fushigi Yuugi OVA 2,218,6.591743119266055
Fushigi no Umi no Nadia,148,6.966216216216216
Futakoi,243,6.242798353909465
Futakoi Alternative,116,6.9655172413793105
Futari wa Precure,106,6.5
Futsuu no Joshikousei ga [Locodol] Yattemita.,110,6.7
Fuuun Ishin DaiâShogun,38,6.052631578947368
GA: Geijutsuka Art Design Class,43,6.3023255813953485
GJ-bu,601,7.1763727121464225
Ga-Rei: Zero,1250,7.7152
Gake no Ue no Ponyo,3224,7.162220843672457
Gakkou no Kaidan,407,7.125307125307125
Gakkougurashi!,810,7.383950617283951
Gakuen Alice,845,7.429585798816568
Gakuen Heaven,721,6.367545076282941
Gakuen Utopia Manabi Straight!,120,7.258333333333334
Galaxy Angel,144,6.708333333333333
Galilei Donna,137,6.350364963503649
Gangsta.,1140,6.726315789473684
Gankutsuou,709,8.097320169252468
Gantz,2194,6.931175934366454
Gantz 2nd Stage,1335,6.914606741573034
Garo: Guren no Tsuki,5,6.4
Garo: Honoo no Kokuin,101,6.98019801980198
Gatchaman Crowds,546,6.805860805860806
Gatchaman Crowds Insight,84,6.619047619047619
Gate Keepers,107,6.953271028037383
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",1497,7.389445557782231
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",787,7.259212198221093
Gedo Senki,1186,6.62310286677909
Gekkan Shoujo Nozaki-kun,2853,7.623904661759552
Genei wo Kakeru Taiyou,142,6.5
Genius Party,135,6.933333333333334
Genshiken,1112,7.424460431654676
Genshiken 2,628,7.4347133757961785
Genshiken Nidaime,124,7.661290322580645
Genshiken OVA,469,7.266524520255864
Gensoumaden Saiyuuki,270,7.192592592592592
GetBackers,545,7.343119266055046
Ghost Hunt,1494,7.652610441767068
Ghost in the Shell,3782,7.562400846113167
Ghost in the Shell (2015),48,7.375
Ghost in the Shell 2.0,634,7.2760252365930596
Ghost in the Shell 2: Innocence,1490,7.373825503355705
Ghost in the Shell: Arise - Alternative Architecture,36,6.388888888888889
Ghost in the Shell: Arise - Border:1 Ghost Pain,238,7.029411764705882
Ghost in the Shell: Arise - Border:2 Ghost Whispers,170,7.223529411764706
Ghost in the Shell: Arise - Border:3 Ghost Tears,114,7.131578947368421
Ghost in the Shell: Arise - Border:4 Ghost Stands Alone,84,7.0476190476190474
Ghost in the Shell: Stand Alone Complex,2176,7.993566176470588
Ghost in the Shell: Stand Alone Complex 2nd GIG,1285,8.039688715953307
Giant Killing,170,7.4941176470588236
Gilgamesh,159,6.836477987421383
Gin no Saji,701,7.582025677603424
Gin no Saji 2nd Season,416,7.855769230769231
Ginban Kaleidoscope,322,7.1397515527950315
