name,rating|size,rating|mean
Fullmetal Alchemist: Brotherhood,10455,8.833381157340986
Fullmetal Alchemist: The Conqueror of Shamballa,4296,7.2167132216014895
Ga-Rei: Zero,1250,7.7152
Gake no Ue no Ponyo,3224,7.162220843672457
Gangsta.,1140,6.726315789473684
Gantz,2194,6.931175934366454
Gantz 2nd Stage,1335,6.914606741573034
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",1497,7.389445557782231
Gedo Senki,1186,6.62310286677909
Gekkan Shoujo Nozaki-kun,2853,7.623904661759552
Ghost Hunt,1494,7.652610441767068
Ghost in the Shell,3782,7.562400846113167
Ghost in the Shell 2: Innocence,1490,7.373825503355705
Ghost in the Shell: Stand Alone Complex,2176,7.993566176470588
Ghost in the Shell: Stand Alone Complex 2nd GIG,1285,8.039688715953307
Gokukoku no Brynhildr,1349,6.853224610822831
Golden Time,2243,7.584930896121266
Gosick,1902,7.989484752891693
Gravitation,1869,6.7410379882289995
Great Teacher Onizuka,3074,8.417371502927782
Guilty Crown,4986,7.6389891696750905
Gunslinger Girl,1245,7.228112449799196
Haibane Renmei,1193,7.805532271584242
Haikyuu!!,2169,7.940064545873675
Haiyore! Nyaruko-san,1318,6.896813353566009
Hajime no Ippo,1131,8.473032714412025
Hataraku Maou-sama!,4864,7.482730263157895
Hellsing,5651,7.246151123694921
Hellsing Ultimate,2418,8.093465674110835
Hidan no Aria,1838,6.822633297062024
Higashi no Eden,3539,7.569935009889799
Higashi no Eden Movie I: The King of Eden,1393,6.949748743718593
Higurashi no Naku Koro ni,5275,7.9340284360189575
Higurashi no Naku Koro ni Kai,3364,8.044292508917955
Higurashi no Naku Koro ni Rei,1522,6.910643889618923
Hoshi no Koe,1389,7.086393088552915
Hotaru no Haka,3384,8.035756501182034
Hotarubi no Mori e,2494,8.04129911788292
Howl no Ugoku Shiro,8580,8.062004662004663
Hunter x Hunter,1436,7.665738161559888
Hunter x Hunter (2011),2435,8.752361396303902
Hyouka,3373,7.621701749184702
Inu x Boku SS,2535,7.216173570019724
InuYasha,3200,7.4465625
InuYasha: Kagami no Naka no Mugenjo,1165,6.780257510729614
Itazura na Kiss,2147,7.3628318584070795
Jigoku Shoujo,1906,7.281217208814271
JoJo no Kimyou na Bouken (TV),1513,8.068076668869795
Junjou Romantica,3181,7.463061930210626
Junjou Romantica 2,2411,7.416424720033182
Juubee Ninpuuchou,1127,7.167701863354037
K,3016,7.349137931034483
K-On!,6760,7.449260355029586
K-On! Movie,1637,7.657910812461821
K-On!!,3444,7.610046457607433
Kaichou wa Maid-sama!,6267,7.720759534067337
Kamisama Hajimemashita,2381,7.4834103317933645
Kanon (2006),2479,8.043565954013715
Kara no Kyoukai 1: Fukan Fuukei,1879,7.051623203831825
Kara no Kyoukai 2: Satsujin Kousatsu (Zen),1442,7.261442441054092
Kara no Kyoukai 3: Tsuukaku Zanryuu,1328,7.452560240963855
Kara no Kyoukai 4: Garan no Dou,1207,7.297431648715825
Kara no Kyoukai 5: Mujun Rasen,1152,7.920138888888889
Karigurashi no Arrietty,1723,7.2907719094602434
Karin,1638,6.784493284493284
Katekyo Hitman Reborn!,1488,8.0625
Kaze no Stigma,2202,7.1289736603088105
Kaze no Tani no NausicaÃ¤,3005,7.714475873544093
Kill la Kill,5505,7.790372388737511
Kimi ga Nozomu Eien,1282,7.154446177847114
Kimi ni Todoke,4340,7.52258064516129
Kimi ni Todoke 2nd Season,2597,7.35271467077397
Kiseijuu: Sei no Kakuritsu,3933,8.074497838799898
Kokoro Connect,2881,7.567164179104478
Kono Subarashii Sekai ni Shukufuku wo!,1258,7.237678855325914
Kotonoha no Niwa,2287,7.726278968080455
Kotoura-san,1171,6.873612297181896
"Kumo no Mukou, Yakusoku no Basho",1428,7.4600840336134455
Kuragehime,1588,7.647984886649874
Kurenai no Buta,1503,7.109115103127079
Kuroko no Basket,4040,7.8660891089108915
Kuroko no Basket 2nd Season,2498,8.002802241793434
Kuroko no Basket 3rd Season,1166,8.03859348198971
Kuroshitsuji,7238,7.681541862392926
Kuroshitsuji II,4399,7.101159354398727
Kuroshitsuji: Book of Circus,1230,7.428455284552846
Kyoukai no Kanata,3727,7.348001073249262
Little Witch Academia,1314,7.361491628614917
Log Horizon,3273,7.605866177818515
Log Horizon 2nd Season,1182,7.10321489001692
Love Live! School Idol Project,1522,7.045335085413929
Love Stage!!,1187,6.625947767481045
Loveless,2034,6.818092428711898
LovelyâComplex,3813,7.827694728560189
LuckyâStar,4820,7.547302904564315
LuckyâStar: Original na Visual to Animation,1793,7.185722253206916
Magi: The Kingdom of Magic,1653,7.816091954022989
Magi: The Labyrinth of Magic,2572,7.632192846034215
Mahou Shoujo MadokaâMagica,7343,8.096690725861365
Mahou Shoujo MadokaâMagica Movie 3: Hangyaku no Monogatari,1596,7.8088972431077694
Mahouka Koukou no Rettousei,1792,7.392857142857143
Majo no Takkyuubin,3694,7.39875473741202
Maoyuu Maou Yuusha,1162,6.882099827882961
Mariaâ Holic,1141,6.659070990359334
Mekakucity Actors,1620,6.639506172839506
Mimi wo Sumaseba,1732,7.5796766743648964
Mirai Nikki,1737,6.369027058146229
Mirai Nikki (TV),9778,7.822663121292698
Mirai Nikki Redial,2191,6.943404837973528
Mobile Suit Gundam 00,1468,7.8283378746594
Mobile Suit Gundam Seed,1226,7.664763458401305
Mobile Suit Gundam Wing,1238,7.465266558966074
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,1929,7.363919129082426
Monogatari Series: Second Season,1531,8.22926192031352
Mononoke Hime,7649,8.02483984834619
Monster,1385,8.571119133574006
Mousou Dairinin,1615,7.379566563467492
Mushishi,2172,8.444290976058932
Myself Yourself,1684,7.048693586698337
NHK ni Youkoso!,3497,8.090363168430082
Nagi no Asukara,1513,8.03172504957039
Nana,2568,8.154595015576325
Naruto,11282,7.3985109023222835
Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,2530,5.989328063241107
Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,1835,5.734059945504087
Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!,1714,5.621936989498249
Naruto: Shippuuden Movie 1,2033,6.199704869650763
Naruto: Shippuuden Movie 2 - Kizuna,1699,6.2012948793407885
Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,1309,6.153552330022919
Naruto: Shippuuden Movie 4 - The Lost Tower,1150,6.335652173913044
Naruto: Shippuuden Movie 6 - Road to Ninja,1133,7.015887025595763
Natsume Yuujinchou,1544,7.927461139896373
Neko no Ongaeshi,2234,7.101611459265891
Nekomonogatari: Kuro,1854,7.266990291262136
Neon Genesis Evangelion,7566,7.898096748612213
Neon Genesis Evangelion: Death &amp Rebirth,2031,6.522402757262432
Neon Genesis Evangelion: The End of Evangelion,4137,7.7055837563451774
Nichijou,2027,8.154908732116429
Nisemonogatari,3028,7.615587846763541
No.6,2474,7.552142279708973
Nodame Cantabile,1476,7.939024390243903
Noragami,5512,7.519956458635704
Noragami Aragoto,1841,7.617055947854427
One Punch Man,4648,8.110585197934595
OnegaiâTeacher,1595,7.0081504702194355
Ookami Kodomo no Ame to Yuki,2923,8.244611700307903
Ookami Shoujo to Kuro Ouji,1361,6.759735488611315
Ookami to Koushinryou,4158,7.87999037999038
Ookami to Koushinryou II,2597,7.966884867154409
Ookami-san to Shichinin no Nakama-tachi,1577,6.845909955611921
Ore no Imouto ga Konnani Kawaii Wake ga Nai,4919,7.080097580809108
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,2572,6.963063763608087
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",1971,7.165905631659056
Overlord,1436,7.470055710306407
Owari no Seraph,2315,6.833693304535637
Pandora Hearts,2317,7.533016832110488
Paprika,2865,7.55392670157068
Paradise Kiss,1675,7.354029850746269
Perfect Blue,1766,7.590033975084938
Persona 4 the Animation,1165,7.219742489270386
Phantom: Requiem for the Phantom,1132,7.96113074204947
Plastic Memories,1280,7.6125
Pokemon,2812,6.481863442389758
Pokemon: Kesshoutou no Teiou Entei,1528,5.774869109947644
Pokemon: Maboroshi no Pokemon Lugia Bakutan,1726,6.079953650057938
Pokemon: Mewtwo no Gyakushuu,2281,6.318281455501973
Psycho-Pass,4865,8.025282631038026
Psycho-Pass 2,1783,7.050476724621425
Re:Zero kara Hajimeru Isekai Seikatsu,1562,7.854033290653009
Redline,1242,7.8647342995169085
Rokka no Yuusha,1261,7.015067406819984
Rozen Maiden,1983,7.357034795763994
Rozen Maiden: TrÃ¤umend,1279,7.516028146989836
Rurouni Kenshin: Meiji Kenkaku Romantan,2336,8.001712328767123
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,1781,8.263335204941045
Sakamichi no Apollon,1271,8.24390243902439
Sakurasou no Pet na Kanojo,4377,8.177975782499429
Samurai Champloo,5508,8.194444444444445
Sayonara Zetsubou Sensei,1837,7.616222101252041
School Rumble,2320,7.6931034482758625
School Rumble Ni Gakki,1318,7.716995447647951
Seitokai Yakuindomo,2147,7.285514671634839
Sekaiichi Hatsukoi,2121,7.2993870815653
Sekaiichi Hatsukoi 2,1551,7.368794326241135
Sen to Chihiro no Kamikakushi,11608,8.23828394210889
Serial Experiments Lain,2339,7.663958956819154
Seto no Hanayome,1551,7.6292714377820765
Shakugan no Shana,3572,7.488801791713326
Shakugan no Shana II (Second),2287,7.483602973327503
Shaman King,2400,7.207916666666667
Shigatsu wa Kimi no Uso,3131,8.556691152986266
Shijou Saikyou no Deshi Kenichi,1280,7.840625
Shiki,2588,7.596599690880989
Shingeki no Kyojin,14379,8.122957090200988
Shingeki no Kyojin OVA,1193,6.701592623637888
Shinsekai yori,1744,8.250573394495413
Shugo Chara!,1782,7.01010101010101
Skip Beat!,2183,7.66147503435639
Soul Eater,7980,7.764912280701754
Special A,2737,7.366824990865911
Steins Gate,7837,8.87546254944494
Steins Gate Movie: Fuka Ryouiki no DÃ©jÃ  vu,2077,8.01299951853635
Stranger: Mukou Hadan,1521,7.988165680473373
Suisei no Gargantia,1364,7.2353372434017595
Sukitte Ii na yo.,3451,7.124601564763837
Summer Wars,3426,7.7924693520140105
Suzumiya Haruhi no Shoushitsu,3330,8.26006006006006
Suzumiya Haruhi no Yuuutsu,7776,7.6958590534979425
Suzumiya Haruhi no Yuuutsu (2009),3595,6.876216968011127
Sword Art Online,14704,7.665057127312296
Sword Art Online II,5209,7.018621616433096
Tasogare Otome x Amnesia,1542,7.6770428015564205
Tengen Toppa Gurren Lagann,7753,8.579001676770282
Tenkuu no Shiro Laputa,3321,7.503161698283649
Toaru Kagaku no Railgun,2160,7.42962962962963
Toaru Majutsu no Index,2942,7.266145479265806
Toaru Majutsu no Index II,1610,7.355900621118012
Toki wo Kakeru Shoujo,5340,7.892322097378277
Tokyo Ghoul,7801,7.488270734521215
Tokyo Ghoul âA,4517,7.017932255922072
Tokyo Godfathers,1297,7.720894371626831
Tokyo Mew Mew,1144,6.328671328671328
Tonari no Kaibutsu-kun,4824,7.062810945273632
Tonari no Totoro,6330,7.69652448657188
Toradora!,10491,8.092650843580211
Trigun,3904,7.983094262295082
Trinity Blood,1404,7.227920227920228
True Tears,1428,7.173669467787115
Tsubasa Chronicle,1438,7.196801112656467
Umineko no Naku Koro ni,1372,7.104956268221574
Usagi Drop,1826,7.974808324205915
Vampire Hunter D (2000),1452,7.308539944903581
Vampire Knight,6651,7.12283867087656
Vampire Knight Guilty,4837,7.145958238577631
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,3014,6.986396814863968
Wolf&#039s Rain,2200,7.584545454545455
Working!!,1704,7.096244131455399
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,3757,7.613521426670216
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,1646,7.778250303766707
Yamato Nadeshiko Shichihengeâ¥,1741,7.333141872487077
Yuru Yuri,1619,7.092649783817171
YuuâYuuâHakusho,1941,8.028851107676456
YuâGiâOh!,1261,6.051546391752577
YuâGiâOh! Duel Monsters,1300,6.776923076923077
Zankyou no Terror,3354,7.844663088849136
Zetsuen no Tempest,1722,7.882113821138211
Zombie-Loan,1191,6.730478589420655
ef: A Tale of Memories.,1687,7.903378778897451
xxxHOLiC,1570,7.550955414012739
